"Title","Body","Status","Type","Repository","Area","Priority","Class of Service","PBS ID","Requirement ID","Feature ID","WBS ID","Test ID","Size","Cycle"
"RQ-001 | F-ACT-01 | L'action expose un contrat d'entree/sortie explicite et versionne.","Objective: L'action expose un contrat d'entree/sortie explicite et versionne. | Feature: F-ACT-01 (Contrat Action GitHub) | Requirement ID: RQ-001 | Repository: instant-release_ACTIONS | PBS ID: S1.C1.SC1 | WBS ID: W2.1 | Acceptance: `action.yml` contient les inputs/outputs obligatoires et la suite de contrat passe en CI. | Test ID: T-001 | Test: integration workflow contrat | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C1.SC1","RQ-001","F-ACT-01","W2.1","T-001","M",""
"RQ-002 | F-ACT-01 | L'action echoue explicitement si un input obligatoire manque.","Objective: L'action echoue explicitement si un input obligatoire manque. | Feature: F-ACT-01 (Contrat Action GitHub) | Requirement ID: RQ-002 | Repository: instant-release_ACTIONS | PBS ID: S1.C1.SC1 | WBS ID: W2.1 | Acceptance: Execution sans input requis -> echec non ambigu avant etapes de build/release. | Test ID: T-002 | Test: integration negatif contrat | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C1.SC1","RQ-002","F-ACT-01","W2.1","T-002","M",""
"RQ-003 | F-ACT-02 | Le pre-flight bloque un lancement release si le contexte Git n'est pas conforme.","Objective: Le pre-flight bloque un lancement release si le contexte Git n'est pas conforme. | Feature: F-ACT-02 (Pre-flight et guardrails execution) | Requirement ID: RQ-003 | Repository: instant-release_ACTIONS | PBS ID: S1.C2.SC5 | WBS ID: W2.2 | Acceptance: Contexte non conforme (ex: branche non autorisee) -> abort avec message de cause. | Test ID: T-003 | Test: integration pre-flight | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C2.SC5","RQ-003","F-ACT-02","W2.2","T-003","M",""
"RQ-004 | F-ACT-02 | Le mode `dry-run` ne cree ni tag ni release.","Objective: Le mode `dry-run` ne cree ni tag ni release. | Feature: F-ACT-02 (Pre-flight et guardrails execution) | Requirement ID: RQ-004 | Repository: instant-release_ACTIONS | PBS ID: S1.C2.SC5 | WBS ID: W2.2 | Acceptance: En `dry-run`, aucun artefact de release distant n'est cree. | Test ID: T-004 | Test: integration dry-run | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C2.SC5","RQ-004","F-ACT-02","W2.2","T-004","M",""
"RQ-005 | F-ACT-02 | La relance du meme commit/version est idempotente.","Objective: La relance du meme commit/version est idempotente. | Feature: F-ACT-02 (Pre-flight et guardrails execution) | Requirement ID: RQ-005 | Repository: instant-release_ACTIONS | PBS ID: S1.C2.SC5 | WBS ID: W2.2 | Acceptance: Un second run identique ne cree pas de doublon et retourne un statut controle. | Test ID: T-005 | Test: integration idempotence | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P1","Standard","S1.C2.SC5","RQ-005","F-ACT-02","W2.2","T-005","S",""
"RQ-006 | F-ACT-03 | Le calcul de version suit la convention de commits Angular.","Objective: Le calcul de version suit la convention de commits Angular. | Feature: F-ACT-03 (Versioning/changelog/tag/release) | Requirement ID: RQ-006 | Repository: instant-release_ACTIONS | PBS ID: S1.C2.SC2 | WBS ID: W2.3 | Acceptance: Pour un jeu de commits de reference, la version calculee est conforme au semver attendu. | Test ID: T-006 | Test: tests unitaires versioning | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C2.SC2","RQ-006","F-ACT-03","W2.3","T-006","M",""
"RQ-007 | F-ACT-03 | Le changelog est genere automatiquement depuis l'historique valide.","Objective: Le changelog est genere automatiquement depuis l'historique valide. | Feature: F-ACT-03 (Versioning/changelog/tag/release) | Requirement ID: RQ-007 | Repository: instant-release_ACTIONS | PBS ID: S1.C2.SC3 | WBS ID: W2.3 | Acceptance: Le changelog est produit/mis a jour et exploitable comme note de release. | Test ID: T-007 | Test: integration changelog | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C2.SC3","RQ-007","F-ACT-03","W2.3","T-007","M",""
"RQ-008 | F-ACT-03 | Tag et release publies portent la meme version.","Objective: Tag et release publies portent la meme version. | Feature: F-ACT-03 (Versioning/changelog/tag/release) | Requirement ID: RQ-008 | Repository: instant-release_ACTIONS | PBS ID: S1.C2.SC4 | WBS ID: W2.3 | Acceptance: Le tag et la release associee existent et reference la meme version. | Test ID: T-008 | Test: integration publication release | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C2.SC4","RQ-008","F-ACT-03","W2.3","T-008","M",""
"RQ-009 | F-ACT-04 | Toute modification ACTIONS/CI declenche les tests d'integration workflows/modules.","Objective: Toute modification ACTIONS/CI declenche les tests d'integration workflows/modules. | Feature: F-ACT-04 (Qualite/securite/supply-chain CI) | Requirement ID: RQ-009 | Repository: instant-release_ACTIONS | PBS ID: S1.C4.SC3 | WBS ID: W2.4 | Acceptance: PR impactant workflows/scripts ne peut pas merger sans suite integration verte. | Test ID: T-009 | Test: gating CI integration | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C4.SC3","RQ-009","F-ACT-04","W2.4","T-009","M",""
"RQ-010 | F-ACT-04 | Les gates bloquants qualite/securite sont appliques conformement au PAQ.","Objective: Les gates bloquants qualite/securite sont appliques conformement au PAQ. | Feature: F-ACT-04 (Qualite/securite/supply-chain CI) | Requirement ID: RQ-010 | Repository: instant-release_ACTIONS | PBS ID: S1.C4.SC4/SC5 | WBS ID: W2.4/W2.5 | Acceptance: Coverage 100%, tests 100%, lint 0 erreur, 0 vuln critical (sauf derogation coverage manager). | Test ID: T-010 | Test: verification matrice gates CI | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C4.SC4/SC5","RQ-010","F-ACT-04","W2.4/W2.5","T-010","M",""
"RQ-011 | F-ACT-04 | Les controles supply-chain minimaux sont fournis sur releases ACTIONS.","Objective: Les controles supply-chain minimaux sont fournis sur releases ACTIONS. | Feature: F-ACT-04 (Qualite/securite/supply-chain CI) | Requirement ID: RQ-011 | Repository: instant-release_ACTIONS | PBS ID: S1.C4.SC6 | WBS ID: W2.5 | Acceptance: Evidence release contient SBOM + provenance + verification signature tag. | Test ID: T-011 | Test: integration supply-chain evidence | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C4.SC6","RQ-011","F-ACT-04","W2.5","T-011","M",""
"RQ-012 | F-ACT-05 | Chaque run exporte un rapport d'execution exploitable.","Objective: Chaque run exporte un rapport d'execution exploitable. | Feature: F-ACT-05 (Observabilite et evidence release) | Requirement ID: RQ-012 | Repository: instant-release_ACTIONS | PBS ID: S1.C5.SC3 | WBS ID: W2.6 | Acceptance: Un artefact de rapport est publie avec statut run + liens checks/release associes. | Test ID: T-012 | Test: integration reporting artefact | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P1","Standard","S1.C5.SC3","RQ-012","F-ACT-05","W2.6","T-012","S",""
"RQ-013 | F-ACT-05 | Le package de preuves de release est archive pour audit.","Objective: Le package de preuves de release est archive pour audit. | Feature: F-ACT-05 (Observabilite et evidence release) | Requirement ID: RQ-013 | Repository: instant-release_ACTIONS | PBS ID: S1.C5.SC4 | WBS ID: W2.6 | Acceptance: Les liens issue/PR/CI/tests/securite/release sont presents et valides. | Test ID: T-013 | Test: audit checklist evidence | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_ACTIONS","DevOps","P0","Standard","S1.C5.SC4","RQ-013","F-ACT-05","W2.6","T-013","M",""
"RQ-014 | F-API-01 | Le contrat API `stats` est stable et teste.","Objective: Le contrat API `stats` est stable et teste. | Feature: F-API-01 (Contrats API stats/config/executions) | Requirement ID: RQ-014 | Repository: instant-release_API | PBS ID: S2.C3.SC1 | WBS ID: W3.1 | Acceptance: Reponse conforme au schema de contrat documente, code HTTP attendu. | Test ID: T-014 | Test: e2e controllers stats + schema | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_API","API","P0","Standard","S2.C3.SC1","RQ-014","F-API-01","W3.1","T-014","M",""
"RQ-015 | F-API-01 | Le contrat API `configuration` expose lecture et ecriture validees.","Objective: Le contrat API `configuration` expose lecture et ecriture validees. | Feature: F-API-01 (Contrats API stats/config/executions) | Requirement ID: RQ-015 | Repository: instant-release_API | PBS ID: S2.C3.SC2 | WBS ID: W3.1 | Acceptance: Lecture valide renvoie 2xx; ecriture invalide renvoie 4xx; ecriture valide persiste. | Test ID: T-015 | Test: e2e controllers config + unit services validation | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_API","API","P0","Standard","S2.C3.SC2","RQ-015","F-API-01","W3.1","T-015","M",""
"RQ-016 | F-API-01 | Le contrat API `executions/releases` expose l'historique et les statuts.","Objective: Le contrat API `executions/releases` expose l'historique et les statuts. | Feature: F-API-01 (Contrats API stats/config/executions) | Requirement ID: RQ-016 | Repository: instant-release_API | PBS ID: S2.C3.SC3 | WBS ID: W3.1 | Acceptance: Reponse conforme au schema et statuts dans l'enum metier autorise. | Test ID: T-016 | Test: e2e controllers executions | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_API","API","P1","Standard","S2.C3.SC3","RQ-016","F-API-01","W3.1","T-016","S",""
"RQ-017 | F-API-02 | Toute logique metier service est couverte par tests unitaires.","Objective: Toute logique metier service est couverte par tests unitaires. | Feature: F-API-02 (Services metier API) | Requirement ID: RQ-017 | Repository: instant-release_API | PBS ID: S1.C4.SC1 | WBS ID: W3.2 | Acceptance: Chaque service modifie possede des tests unitaires associes verts. | Test ID: T-017 | Test: unitaires services | DoD: code/artefacts + tests + CI + docs + preuves","Backlog Qualifie","Requirement","instant-release_API","API","P0","Standard","S1.C4.SC1","RQ-017","F-API-02","W3.2","T-017","M",""
